,Year,STATECOUNTY,ACS_N_TOTAL_POP,ACS_N_MALE,ACS_N_FEMALE,ACS_N_RACE_TOTAL_POP,ACS_N_RACE_WHITE,ACS_N_RACE_BLACK,ACS_N_RACE_AMERIND,ACS_N_RACE_ASIAN,ACS_N_RACE_HAWPACISL,ACS_N_RACE_OTHER,ACS_N_RACE_TWOORMORE,ACS_N_ETHN_HISPLAT_Y,ACS_N_ETHN_HISPLAT_N,ACS_N_POVERTY_STAT,ACS_N_POVERTY_STAT_BELOW_100_PCT,ACS_N_POVERTY_STAT_100_TO_149_PCT,ACS_N_POVERTY_STAT_ABOVE_150_PCT,ACS_N_INSURED_NON_INST,ACS_N_INSURED_NON_INST_UNDER_19,ACS_N_INSURED_NON_INST_19_TO_64,ACS_N_INSURED_NON_INST_OVER_65,ACS_N_DISABIL_Y,ACS_N_DISABIL_N,STATE,COUNTY,ACS_MED_AGE,ACS_MED_AGE_M,ACS_MED_AGE_F,ACS_MED_INCOME_PAST_12MO,ACS_MED_INCOME
40,2018,17_171,5047,2460,2587,4937,4890,8,15,9,10,5,44,62,4833,4864,617,439,3808,4796,1198,2674,924,563,4233,17,171,44.099999999999994,43.099999999999994,44.3,27944.5,27944.5
41,2018,17_173,21832,10791,11041,21504,21242,203,19,25,0,15,108,226,21032,21397,2391,2387,16619,20714,4840,11345,4529,2659,18055,17,173,44.25,43.0,46.5,28404.166666666668,28404.166666666668
42,2018,17_175,5500,2716,2784,5379,5294,30,0,53,0,2,46,88,5208,5323,843,613,3867,5042,1198,2748,1096,661,4381,17,175,45.0,44.150000000000006,45.8,27995.5,27995.5
43,2018,17_177,45433,21986,23447,43821,38765,4439,52,366,0,199,1284,1600,37492,44253,6333,4733,33187,42245,9880,23248,9117,6329,35916,17,177,44.61538461538463,42.39230769230768,45.830769230769235,26737.30769230769,26737.30769230769
44,2018,17_179,133852,65987,67865,130670,126970,1718,211,1348,27,396,1726,2885,124707,129245,10960,9683,108602,126519,31331,72244,22944,15119,111400,17,179,41.17666666666666,40.07666666666667,42.20000000000001,33939.2,33939.2
45,2018,17_181,17127,8592,8535,16531,15909,237,19,58,0,308,363,848,15386,16689,3029,1755,11905,16004,3650,9080,3274,2987,13017,17,181,43.519999999999996,43.1,44.78000000000001,26807.6,26807.6
46,2018,17_183,78407,38967,39440,76240,63791,10786,189,743,24,707,1209,3873,60847,74268,14448,7072,52748,71169,19057,38293,13819,11281,59888,17,183,40.729166666666664,39.050000000000004,42.16666666666666,26583.916666666668,26583.916666666668
47,2018,17_185,11573,5666,5907,11309,11061,93,14,119,0,22,192,271,10846,11397,1342,1103,8952,10778,2572,5988,2218,1878,8900,17,185,42.875,41.15,44.875,25976.0,25976.0
48,2018,17_187,17338,8353,8985,16814,15118,453,40,453,0,750,372,1628,14306,16006,1939,1844,12223,16566,4080,9442,3044,2178,14388,17,187,41.06,39.739999999999995,43.32,28281.6,28281.6
49,2018,17_189,14155,7108,7047,13814,13544,117,18,34,8,93,195,190,13472,13779,1130,954,11695,13452,3090,7795,2567,1680,11772,17,189,43.625,42.675,44.775000000000006,33886.25,33886.25
50,2018,17_19,209448,104513,104935,201965,149898,27586,312,22170,133,1866,5224,12058,140401,191565,39749,14993,136823,197733,45385,128411,23937,17921,179812,17,19,33.76046511627907,33.030232558139524,34.39069767441861,28413.720930232557,28413.720930232557
51,2018,17_191,16487,8141,8346,16091,15743,262,33,43,0,10,164,76,15677,16154,2249,1654,12251,15192,3535,8269,3388,2934,12258,17,191,43.919999999999995,42.94,44.68,28141.8,28141.8
52,2018,17_193,14025,6882,7143,13814,13645,101,11,51,4,2,121,198,13453,13523,1741,1694,10088,12934,3088,7015,2831,2628,10306,17,193,44.44,43.12,45.42,26208.8,26208.8
53,2018,17_195,56396,27799,28597,54763,52242,976,76,312,44,1113,1134,6530,47473,54798,5755,4841,44202,52805,13099,28902,10804,7800,45005,17,195,43.227777777777774,41.89999999999999,44.355555555555554,28122.166666666668,28122.166666666668
54,2018,17_197,688697,341816,346881,661133,499878,76353,1892,36541,217,46252,19680,115767,437565,670714,46490,38122,586102,643207,182085,379956,81166,57707,585500,17,197,38.75231788079471,37.647019867549645,39.91125827814569,36715.85430463576,36715.85430463576
55,2018,17_199,67299,33607,33692,65091,60884,2805,164,743,7,488,1555,1729,59924,64301,9612,6079,48610,61574,15093,34755,11726,11088,50486,17,199,40.626666666666665,39.03333333333333,42.480000000000004,27456.866666666665,27456.866666666665
56,2018,17_201,286174,139748,146426,274284,223903,36272,809,7260,99,5941,8567,34816,197694,277718,42645,27086,207987,264500,68351,150536,45613,38101,226399,17,201,40.125,38.68815789473683,41.23815789473684,27098.184210526317,27098.184210526317
57,2018,17_203,38817,19343,19474,37804,37195,250,14,202,0,143,592,686,36732,37362,2702,1919,32741,36809,9914,20766,6129,3741,33068,17,203,40.32222222222222,39.74444444444445,40.900000000000006,34178.11111111111,34178.11111111111
58,2018,17_21,33231,16818,16413,32703,31923,423,62,220,68,7,346,533,31427,31282,4007,3163,24112,30005,6981,16921,6103,3800,26205,17,21,42.85,41.54,43.9,28485.5,28485.5
59,2018,17_23,15836,7824,8012,15433,15184,49,14,100,0,86,230,247,15121,15378,1952,1543,11883,14764,3741,8184,2839,2487,12277,17,23,42.3,41.62499999999999,42.025,29594.25,29594.25
60,2018,17_25,13338,6586,6752,12999,12876,61,20,38,0,4,190,194,12686,12967,2092,1147,9728,12133,2768,6870,2495,2517,9616,17,25,43.349999999999994,41.4,45.975,26447.25,26447.25
61,2018,17_27,37628,19551,18077,36691,34844,1311,104,220,0,212,532,1134,34084,35095,3167,2400,29528,33839,8087,19927,5825,4944,28895,17,27,41.175000000000004,39.575,42.7125,33059.625,33059.625
62,2018,17_29,51736,24999,26737,50324,47485,1891,107,627,97,117,828,1271,46546,47545,10226,5330,31989,47844,10127,29901,7816,7588,40256,17,29,38.75833333333334,37.425000000000004,39.849999999999994,25039.25,25039.25
63,2018,17_3,6532,3104,3428,6268,4006,2168,48,6,21,19,184,73,3991,6360,1914,662,3784,6030,1658,3099,1273,1296,4734,17,3,42.074999999999996,40.7,42.5,20831.0,20831.0
64,2018,17_31,5223719,2534640,2689079,5030571,2924046,1216343,14486,372129,1884,501683,129543,1294649,2194634,5075220,764954,467145,3843121,4684990,1182932,2809575,692483,499596,4185394,17,31,37.225323193916374,35.840684410646396,38.43437262357413,34147.84790874525,34147.84790874525
65,2018,17_33,19088,9910,9178,18485,17145,1100,14,137,13,76,397,668,16625,16773,1945,1438,13390,15939,3698,8902,3339,2591,13348,17,33,42.666666666666664,41.31666666666666,44.349999999999994,26978.666666666668,26978.666666666668
66,2018,17_35,10865,5455,5410,10574,10451,9,22,30,14,48,160,114,10379,10588,1461,941,8186,10228,2606,5700,1922,1770,8458,17,35,42.699999999999996,42.13333333333333,43.23333333333333,28365.0,28365.0
67,2018,17_37,104200,51580,52620,100754,87132,7824,62,2523,0,3213,2469,11360,79793,98215,16107,7686,74422,97465,24622,60936,11907,10214,87251,17,37,34.661904761904765,34.1,35.671428571428564,28750.761904761905,28750.761904761905
68,2018,17_39,16042,8015,8027,15592,15317,76,13,4,10,172,301,406,15086,15623,1723,1281,12619,15005,3617,8612,2776,1879,13126,17,39,43.56,41.760000000000005,44.94,29658.2,29658.2
69,2018,17_41,19714,9748,9966,19194,18714,78,110,144,18,130,194,1375,17573,19089,2085,2287,14717,16724,4292,9275,3157,2075,14649,17,41,39.36,37.480000000000004,40.4,29940.8,29940.8
70,2018,17_43,931743,457178,474565,897773,714707,43785,1985,107481,426,29389,24047,130065,621408,908827,61448,46131,801248,871642,220456,522353,128833,72461,799181,17,43,39.90231481481481,38.52175925925926,41.3513888888889,42571.03703703704,42571.03703703704
71,2018,17_45,17539,8617,8922,17148,16881,61,12,181,0,13,140,201,16759,16966,2039,1262,13665,16298,3588,9233,3477,2687,13611,17,45,45.64,43.660000000000004,47.339999999999996,27381.0,27381.0
72,2018,17_47,6507,3231,3276,6336,6233,45,34,24,0,0,84,90,6205,6327,644,452,5231,6116,1522,3287,1307,1071,5045,17,47,43.300000000000004,41.53333333333333,44.53333333333333,27276.666666666668,27276.666666666668
