,Unnamed: 0,Year,NAME,TRACT,STATE,COUNTY,ACS_GEO_ID,ACS_N_TOTAL_POP,ACS_N_MALE,ACS_N_FEMALE,ACS_MED_AGE,ACS_MED_AGE_M,ACS_MED_AGE_F,ACS_N_RACE_TOTAL_POP,ACS_N_RACE_WHITE,ACS_N_RACE_BLACK,ACS_N_RACE_AMERIND,ACS_N_RACE_ASIAN,ACS_N_RACE_HAWPACISL,ACS_N_RACE_OTHER,ACS_N_RACE_TWOORMORE,ACS_N_ETHN_HISPLAT_Y,ACS_N_ETHN_HISPLAT_N,ACS_MED_INCOME,ACS_MED_INCOME_PAST_12MO,ACS_N_POVERTY_STAT,ACS_N_POVERTY_STAT_BELOW_100_PCT,ACS_N_POVERTY_STAT_100_TO_149_PCT,ACS_N_POVERTY_STAT_ABOVE_150_PCT,ACS_N_INSURED_NON_INST,ACS_N_INSURED_NON_INST_UNDER_19,ACS_N_INSURED_NON_INST_19_TO_64,ACS_N_INSURED_NON_INST_OVER_65,ACS_N_DISABIL_Y,ACS_N_DISABIL_N,STATECOUNTY,N_BLACK,PCT_BLACK,N_NOT_WHITE,PCT_NOT_WHITE,N_UNINSURED,PCT_UNINSURED,N_POVERTY_STAT,PCT_POVERTY_STAT,N_DISABIL_STAT,PCT_DISABIL_STAT,COUNTY_NAME,bucket,bucket_idx,midpoint
3650,3650,2018,"Census Tract 2114.02, St. Louis County, Missouri",211402,29,189,1400000US29189211402,2266,1038,1228,32,31.9,32.2,2170,696,1315,0,159,0,0,96,6,690,30592,30592,2266,245,73,1948,2123,457,1401,265,218,1905,29189,1315,0.605990783,1474,0.679262673,143,0.063106796,245,0.108120035,218,0.10268488,St. Louis County,"(25000, 32000]",19,28500
3362,3362,2018,"Census Tract 1011, St. Louis city, Missouri",101100,29,510,1400000US29510101100,2408,1222,1186,46.6,47.4,46.2,2244,1964,87,41,37,0,115,145,210,1869,30412,30412,2389,320,103,1966,2083,336,1327,420,329,1754,29510,87,0.038770053,280,0.124777184,325,0.134966777,320,0.133947258,329,0.157945271,St. Louis City,"(25000, 32000]",10,28500
3581,3581,2018,"Census Tract 1141.01, St. Louis city, Missouri",114101,29,510,1400000US29510114101,4158,1863,2295,36.7,36.3,38.2,3975,3038,734,0,147,0,56,130,86,3008,30371,30371,4090,661,538,2891,3884,666,2760,458,811,3073,29510,734,0.184654088,937,0.23572327,274,0.065897066,661,0.161613692,811,0.208805355,St. Louis City,"(25000, 32000]",11,28500
4122,4122,2018,"Census Tract 2108.05, St. Louis County, Missouri",210805,29,189,1400000US29189210805,6446,3015,3431,41.1,39.3,43.5,6305,907,5369,0,14,15,0,91,0,907,30326,30326,6151,438,536,5177,5885,1497,3385,1003,935,4950,29189,5369,0.851546392,5398,0.856145916,561,0.087030717,438,0.071207934,935,0.158878505,St. Louis County,"(25000, 32000]",49,28500
3356,3356,2018,"Census Tract 1025, St. Louis city, Missouri",102500,29,510,1400000US29510102500,1944,939,1005,40,39,42.2,1871,1738,63,13,0,0,57,68,108,1696,30268,30268,1914,244,228,1442,1754,262,1220,272,173,1581,29510,63,0.033671833,133,0.071084981,190,0.097736626,244,0.127481714,173,0.098631699,St. Louis City,"(25000, 32000]",9,28500
4124,4124,2018,"Census Tract 2109.23, St. Louis County, Missouri",210923,29,189,1400000US29189210923,5214,2384,2830,35.5,35.2,35.5,4893,2894,1866,0,122,0,11,218,570,2354,30175,30175,5040,487,477,4076,4639,1547,2494,598,471,4168,29189,1866,0.381361128,1999,0.408542816,575,0.110280015,487,0.096626984,471,0.101530502,St. Louis County,"(25000, 32000]",51,28500
4276,4276,2018,"Census Tract 2205.02, St. Louis County, Missouri",220502,29,189,1400000US29189220502,6886,3386,3500,36.8,33.3,41.3,6683,5421,955,102,205,0,0,71,64,5357,30030,30030,6721,365,430,5926,6209,1070,4084,1055,736,5473,29189,955,0.142899895,1262,0.188837348,677,0.098315423,365,0.054307395,736,0.118537607,St. Louis County,"(25000, 32000]",56,28500
3315,3315,2018,"Census Tract 1181, St. Louis city, Missouri",118100,29,510,1400000US29510118100,1104,601,503,37.3,38,35.9,1092,614,457,0,7,0,14,9,95,532,29706,29706,1100,266,105,729,911,139,717,55,157,754,29510,457,0.418498168,478,0.437728938,193,0.174818841,266,0.241818182,157,0.17233809,St. Louis City,"(25000, 32000]",4,28500
3741,3741,2018,"Census Tract 2108.03, St. Louis County, Missouri",210803,29,189,1400000US29189210803,4411,1784,2627,50.8,48.1,53.2,4274,1547,2708,0,0,0,19,137,104,1477,29641,29641,3980,204,277,3499,3989,850,2139,1000,688,3301,29189,2708,0.633598503,2727,0.638043987,422,0.095669916,204,0.051256281,688,0.172474304,St. Louis County,"(25000, 32000]",25,28500
4133,4133,2018,"Census Tract 2113.34, St. Louis County, Missouri",211334,29,189,1400000US29189211334,4405,2064,2341,38,37.1,38.9,4180,3077,1028,4,64,0,7,186,95,3020,29167,29167,4201,320,535,3346,3985,1077,2218,690,495,3490,29189,1028,0.245933014,1103,0.263875598,420,0.095346198,320,0.07617234,495,0.124215809,St. Louis County,"(25000, 32000]",55,28500
