,Year,NAME,TRACT,STATE,COUNTY,ACS_GEO_ID,ACS_N_TOTAL_POP,ACS_N_MALE,ACS_N_FEMALE,ACS_MED_AGE,ACS_MED_AGE_M,ACS_MED_AGE_F,ACS_N_RACE_TOTAL_POP,ACS_N_RACE_WHITE,ACS_N_RACE_BLACK,ACS_N_RACE_AMERIND,ACS_N_RACE_ASIAN,ACS_N_RACE_HAWPACISL,ACS_N_RACE_OTHER,ACS_N_RACE_TWOORMORE,ACS_N_ETHN_HISPLAT_Y,ACS_N_ETHN_HISPLAT_N,ACS_MED_INCOME,ACS_MED_INCOME_PAST_12MO,ACS_N_POVERTY_STAT,ACS_N_POVERTY_STAT_BELOW_100_PCT,ACS_N_POVERTY_STAT_100_TO_149_PCT,ACS_N_POVERTY_STAT_ABOVE_150_PCT,ACS_N_INSURED_NON_INST,ACS_N_INSURED_NON_INST_UNDER_19,ACS_N_INSURED_NON_INST_19_TO_64,ACS_N_INSURED_NON_INST_OVER_65,ACS_N_DISABIL_Y,ACS_N_DISABIL_N
2264,2018,"Census Tract 5.03, Sangamon County, Illinois",503,17,167,1400000US17167000503,3740,1650,2090,40.7,40.1,41.3,3451,2875,427,4,124,0,21,258,16,2866,28490.0,28490.0,3705,781,280,2644,3523,769,2157,597,607,2916
2265,2018,"Census Tract 9541, Hancock County, Illinois",954100,17,67,1400000US17067954100,3221,1510,1711,45.9,43.2,48.7,3151,3058,59,0,34,0,0,61,0,3058,27960.0,27960.0,3151,303,272,2576,3106,689,1683,734,411,2695
2266,2018,"Census Tract 9542, Hancock County, Illinois",954200,17,67,1400000US17067954200,2237,1160,1077,45.7,45.5,46.1,2183,2175,0,2,6,0,0,12,66,2114,31895.0,31895.0,2189,252,196,1741,2156,518,1218,420,249,1907
2267,2018,"Census Tract 9538, Hancock County, Illinois",953800,17,67,1400000US17067953800,2550,1211,1339,43.3,41.0,46.1,2476,2421,19,0,17,0,19,60,96,2369,33667.0,33667.0,2462,222,401,1839,2431,583,1315,533,319,2112
2268,2018,"Census Tract 9537, Hancock County, Illinois",953700,17,67,1400000US17067953700,2211,1096,1115,43.7,41.2,48.2,2164,2164,0,0,0,0,0,27,28,2136,26973.0,26973.0,2152,288,204,1660,2100,505,1065,530,256,1844
2269,2018,"Census Tract 9543, Hancock County, Illinois",954300,17,67,1400000US17067954300,3389,1745,1644,45.3,44.7,45.9,3333,3317,16,0,0,0,0,11,26,3291,27644.0,27644.0,3338,563,261,2514,3223,674,1889,660,479,2744
2270,2018,"Census Tract 4001.02, Madison County, Illinois",400102,17,119,1400000US17119400102,4626,2413,2213,39.8,36.2,40.9,4382,3441,737,108,62,0,34,52,537,3187,25734.0,25734.0,4411,1218,334,2859,4470,985,2761,724,897,3573
2271,2018,"Census Tract 4002, Madison County, Illinois",400200,17,119,1400000US17119400200,4476,2288,2188,36.7,34.8,41.5,4279,3621,436,102,0,0,120,169,260,3524,17218.0,17218.0,4355,1215,540,2600,4086,923,2626,537,881,3205
2272,2018,"Census Tract 4006, Madison County, Illinois",400600,17,119,1400000US17119400600,2607,1217,1390,39.9,35.5,43.5,2481,1065,1406,5,5,0,0,87,33,1037,15906.0,15906.0,2568,786,1098,684,2076,507,1185,384,660,1416
2273,2018,"Census Tract 4020, Madison County, Illinois",402000,17,119,1400000US17119402000,4252,2015,2237,39.6,37.0,43.6,4013,2823,1098,0,92,0,0,179,173,2673,25070.0,25070.0,4192,913,731,2548,3837,861,2095,881,912,2925
2274,2018,"Census Tract 4021, Madison County, Illinois",402100,17,119,1400000US17119402100,3050,1269,1781,37.7,34.5,37.8,2773,1454,1301,13,5,0,0,216,16,1438,19841.0,19841.0,2914,1112,271,1531,2875,893,1518,464,729,2146
2275,2018,"Census Tract 4024, Madison County, Illinois",402400,17,119,1400000US17119402400,1627,774,853,45.8,44.6,46.4,1545,1124,420,0,0,0,1,58,11,1114,21006.0,21006.0,1588,549,116,923,1511,309,834,368,402,1109
